,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.107263517379761,0.21292,2.0966477394104004,0.2146
1,5,1.9171451902389527,0.28628,1.9056122779846192,0.2897
2,10,1.6492227363586425,0.4036,1.6563639163970947,0.4024
3,15,1.474802122116089,0.46424,1.4825596809387207,0.4632
4,20,1.3881592798233031,0.4978,1.4032911300659179,0.4921
5,25,1.3359863710403443,0.51818,1.356849980354309,0.5113
6,30,1.29868510723114,0.53028,1.3231581449508667,0.5248
7,35,1.309392943382263,0.53064,1.337793231010437,0.5235
8,40,1.1871404266357422,0.57276,1.227381420135498,0.5618
9,45,1.1372360563278199,0.5919,1.1802423477172852,0.5788
10,50,1.1407283926010132,0.58868,1.1829564094543457,0.578
11,55,1.079149661064148,0.61432,1.1268879652023316,0.601
12,60,1.0412282204627992,0.63188,1.0892612218856812,0.6195
13,65,0.9960740566253662,0.64536,1.0427526712417603,0.6295
14,70,0.9726127529144287,0.65292,1.0228190422058105,0.6369
15,75,0.9558689188957215,0.66226,1.016432237625122,0.6421
16,80,0.9505856609344483,0.66402,1.0081671237945558,0.642
17,85,0.8979250764846802,0.68222,0.954816710948944,0.6634
18,90,0.8925382685661316,0.68696,0.9481603384017945,0.6658
19,95,0.8506750965118408,0.69788,0.9160975337028503,0.6747
20,100,0.830902886390686,0.70694,0.8988106727600098,0.685
21,105,0.8473389267921447,0.70052,0.9123139023780823,0.6845
22,110,0.8140795850753784,0.7129,0.8856171011924744,0.6912
23,115,0.781986095905304,0.7234,0.8530259847640991,0.7011
24,120,0.7460369181632995,0.73662,0.8178669810295105,0.7083
25,125,0.7323958444595337,0.7419,0.8116766452789307,0.713
26,130,0.7197617697715759,0.74588,0.8006484150886536,0.7165
27,135,0.6878111672401428,0.75764,0.7674133896827697,0.7262
28,140,0.6713790154457092,0.7644,0.7530402779579163,0.7364
29,145,0.666854202747345,0.76592,0.7508099794387817,0.736
30,150,0.6618992829322815,0.76768,0.7453149795532227,0.7385
