,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.095926790821309,0.2165,2.0831122159957887,0.2215
1,5,1.7995517570145276,0.31948,1.8039845824241638,0.3187
2,10,1.6487539398426911,0.39328,1.653732967376709,0.3925
3,15,1.444119465594389,0.47072,1.447043788433075,0.4715
4,20,1.3067434807212985,0.52318,1.3165396928787232,0.5213
5,25,1.1266079922111667,0.5931,1.1419188737869264,0.5838
6,30,1.0873332948100811,0.61528,1.106590163707733,0.6077
7,35,0.8835197176252093,0.68702,0.9144339919090271,0.6777
8,40,0.7890280168883654,0.71988,0.8433409690856933,0.7031
9,45,0.6829415498947611,0.76212,0.7392749667167664,0.744
10,50,0.6066837493254214,0.78718,0.6701459169387818,0.7629
11,55,0.6438220909663609,0.7755,0.7291939735412598,0.751
12,60,0.5713305303028652,0.80026,0.6701207339763642,0.7666
13,65,0.43649108920778545,0.84956,0.5494924247264862,0.8098
14,70,0.45795315017505567,0.8374,0.5817205131053924,0.7998
15,75,0.3608702968577949,0.87296,0.5118332117795944,0.8288
16,80,0.30681601410009424,0.89234,0.47890135645866394,0.8331
17,85,0.26174210224832806,0.90898,0.45531312227249143,0.8443
18,90,0.2721176992873756,0.90436,0.5015978753566742,0.838
19,95,0.20419978213553525,0.93018,0.4535673677921295,0.8479
20,100,0.17146709500526897,0.93976,0.4589076638221741,0.8529
21,105,0.14436511376074382,0.94956,0.46601193845272065,0.8583
22,110,0.1116546772572459,0.9615,0.47174549400806426,0.8608
23,115,0.08186697686205105,0.97346,0.4681151807308197,0.8635
24,120,0.06072435915774228,0.98112,0.4752003103494644,0.8666
25,125,0.045212747339083224,0.9869,0.49212666451931,0.8674
26,130,0.032546945182340484,0.9913,0.497779905796051,0.8696
27,135,0.022292576065020903,0.99462,0.5091112107038498,0.8727
28,140,0.017970892011511082,0.9963,0.5184807032346725,0.8755
29,145,0.015319172825132097,0.99724,0.5149283319711685,0.8743
30,150,0.01489201800099441,0.99736,0.5134707361459732,0.8749
