,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.0913935632121805,0.2294,2.076279091835022,0.235
1,5,1.8006520514585533,0.32424,1.8088621973991394,0.3246
2,10,1.618789062208059,0.39904,1.6226168513298034,0.4015
3,15,1.4203950361329682,0.47334,1.4333019614219666,0.4696
4,20,1.3553924025321493,0.4976,1.3679762482643127,0.4915
5,25,1.1808053060453765,0.57412,1.1980913043022157,0.5714
6,30,1.0355709864168752,0.63252,1.0668652772903442,0.6214
7,35,0.9110069846620366,0.6779,0.9399827480316162,0.6617
8,40,0.825817176273891,0.70664,0.8557737946510315,0.7
9,45,0.7568655975010931,0.72988,0.8016601085662842,0.7127
10,50,0.6569575168648545,0.77136,0.715690678358078,0.753
11,55,0.6426247869219098,0.7708,0.7096253395080566,0.7535
12,60,0.5509306180233858,0.80526,0.6407097935676574,0.7749
13,65,0.5204472499234336,0.81682,0.6209746479988099,0.7848
14,70,0.4456170979811221,0.84438,0.5587406933307648,0.806
15,75,0.4367710893251458,0.84664,0.5621073484420777,0.8081
16,80,0.41678396475558377,0.85358,0.556600022315979,0.8104
17,85,0.3473524007262016,0.88042,0.5071263581514358,0.8234
18,90,0.30577913474063484,0.89372,0.4779785245656967,0.8308
19,95,0.2764936910600078,0.90288,0.47731188833713534,0.8363
20,100,0.2612012138172072,0.90734,0.48062942922115326,0.8387
21,105,0.22530370768235655,0.9235,0.46608453094959257,0.8454
22,110,0.19095263523714884,0.93366,0.46955597698688506,0.8494
23,115,0.1690003096449132,0.94132,0.45707950592041013,0.8541
24,120,0.14394859756742204,0.95112,0.45782550871372224,0.8533
25,125,0.11935379797098589,0.9613,0.45517157912254336,0.8601
26,130,0.10247509257525814,0.96586,0.45922538042068484,0.8608
27,135,0.08622275642594512,0.97186,0.46310322880744936,0.8606
28,140,0.07492489086426034,0.97614,0.4663664400577545,0.8642
29,145,0.0687999504105169,0.97856,0.4685618311166763,0.8663
30,150,0.0675975605085188,0.9789,0.4669622302055359,0.8668
