,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.0270670509338378,0.23906,2.0132102966308594,0.241
1,5,1.788777346611023,0.32606,1.7792203426361084,0.3305
2,10,1.4990216875076294,0.45746,1.5087945699691772,0.4534
3,15,1.3358571386337281,0.52032,1.3569407224655152,0.5116
4,20,1.2695197105407714,0.53248,1.2967048406600952,0.5234
5,25,1.1592713212966919,0.58236,1.1884730100631713,0.568
6,30,1.015809679031372,0.63482,1.047135066986084,0.618
7,35,0.9691884851455689,0.65028,1.0049140930175782,0.6357
8,40,0.8821130585670471,0.68378,0.9306289315223694,0.6664
9,45,0.8144700145721435,0.70942,0.8795325517654419,0.6856
10,50,0.7982776212692261,0.71652,0.8619781374931336,0.6942
11,55,0.6940848779678345,0.75512,0.7649823188781738,0.7282
12,60,0.6643587565422058,0.7643,0.7543912649154663,0.7335
13,65,0.6026153659820557,0.78684,0.7033879637718201,0.7519
14,70,0.5438746511936188,0.80836,0.6556427359580994,0.7692
15,75,0.5041103661060333,0.82458,0.6252672076225281,0.7801
16,80,0.49666621327400207,0.82744,0.6371712207794189,0.7767
17,85,0.4435230827331543,0.84078,0.6003387689590454,0.7898
18,90,0.383694714307785,0.86554,0.5549001455307007,0.8063
19,95,0.34757567167282105,0.87928,0.5496031284332276,0.8116
20,100,0.31514704346656797,0.88896,0.5326737999916077,0.8154
21,105,0.2954066812992096,0.89618,0.53272465467453,0.817
22,110,0.2493028873205185,0.91372,0.508984524011612,0.8266
23,115,0.22124469697475432,0.92258,0.5192628145217896,0.83
24,120,0.18793501019477843,0.9358,0.511087155342102,0.8341
25,125,0.15441303372383117,0.94778,0.5081355154514313,0.8395
26,130,0.1256023973226547,0.95784,0.5062338411808014,0.8434
27,135,0.10510896474123001,0.96604,0.520655483007431,0.846
28,140,0.0861699366569519,0.97338,0.5152954220771789,0.8495
29,145,0.07968050450086593,0.97478,0.5231371402740479,0.847
30,150,0.07802200436592102,0.97566,0.5246424555778504,0.8469
