,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.053034548856774,0.22266,2.045653533935547,0.2273
1,5,1.859067126196258,0.29542,1.867531132698059,0.2999
2,10,1.6477330631139326,0.39196,1.6541587352752685,0.3923
3,15,1.5200548366624482,0.43344,1.532720410823822,0.4249
4,20,1.3078680330393266,0.52736,1.3213837265968322,0.5253
5,25,1.2520164640582339,0.5442,1.2671408534049988,0.5447
6,30,1.1161639544428612,0.58822,1.1354794144630431,0.5837
7,35,1.0038439972060067,0.63846,1.034017026424408,0.6267
8,40,0.867063510174654,0.69194,0.8975789368152618,0.682
9,45,0.7886700812651186,0.72134,0.8329339742660522,0.7082
10,50,0.7556518060820443,0.73328,0.8069424569606781,0.7213
11,55,0.6925999692508152,0.75606,0.7564277470111846,0.7366
12,60,0.6188163295084116,0.78364,0.6861492335796356,0.7623
13,65,0.626587088010749,0.77974,0.7192437529563904,0.7501
14,70,0.5138927150745781,0.82006,0.6168045282363892,0.7834
15,75,0.4713247898890048,0.83518,0.59328191280365,0.7981
16,80,0.4226374972839745,0.85304,0.5540043115615845,0.8066
17,85,0.4060915179398595,0.85784,0.5476270020008087,0.8098
18,90,0.38444968936394674,0.8653,0.5409769296646119,0.8178
19,95,0.33266377753140974,0.88278,0.5097920417785644,0.824
20,100,0.3095313870176977,0.89072,0.5045008540153504,0.83
21,105,0.280644100235433,0.90206,0.4879863321781158,0.8371
22,110,0.25010229738391176,0.91322,0.4747055858373642,0.8435
23,115,0.21978240201667865,0.9233,0.4627427399158478,0.8483
24,120,0.20822236063529034,0.92652,0.47810992002487185,0.8462
25,125,0.16795953043869563,0.94184,0.462136310338974,0.8495
26,130,0.15057328343391418,0.94926,0.4671582281589508,0.8548
27,135,0.1309474435996036,0.95592,0.45962384045124055,0.8586
28,140,0.11607153485624158,0.96136,0.4606946915388107,0.8586
29,145,0.10972413314240319,0.96414,0.457923611998558,0.8605
30,150,0.10812683646776239,0.96464,0.45878682732582093,0.8606
