,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.137742395401001,0.2176,2.128045654296875,0.2201
1,5,1.8736046361923218,0.30186,1.870272731781006,0.3018
2,10,1.6889574766159057,0.38656,1.696655511856079,0.3832
3,15,1.5928093385696411,0.4243,1.6084842205047607,0.4196
4,20,1.530935583114624,0.44552,1.548931360244751,0.4376
5,25,1.5422704124450684,0.44072,1.5637162685394288,0.4319
6,30,1.4096147155761718,0.4924,1.4336296319961548,0.4821
7,35,1.4343875074386596,0.47768,1.4558817625045777,0.4656
8,40,1.3434887504577637,0.5178,1.3651459455490111,0.5028
9,45,1.315476007461548,0.52642,1.346029782295227,0.5136
10,50,1.2863583278656006,0.53716,1.3111990690231323,0.5254
11,55,1.2607412576675414,0.54908,1.295809531211853,0.5372
12,60,1.2397180700302124,0.55474,1.2720887184143066,0.5421
13,65,1.2313492012023926,0.56036,1.2654932737350464,0.5488
14,70,1.1773691082000732,0.58008,1.2183894157409667,0.5691
15,75,1.1820525121688843,0.57768,1.2193535327911378,0.5687
16,80,1.151451015472412,0.5921,1.1999825954437255,0.5773
17,85,1.142540273666382,0.59578,1.1871217966079712,0.5756
18,90,1.10873507976532,0.60726,1.1533138036727906,0.5936
19,95,1.0857320737838745,0.6149,1.132820153236389,0.5972
20,100,1.0372884130477906,0.63408,1.0806736707687379,0.6192
21,105,1.0242118787765504,0.64038,1.0701704978942872,0.6274
22,110,1.0103402876853942,0.6432,1.0560773849487304,0.6287
23,115,1.0028669500350953,0.64822,1.0596772670745849,0.6287
24,120,0.958515772819519,0.66096,1.009467113018036,0.6409
25,125,0.9629170966148376,0.66068,1.0172406077384948,0.6395
26,130,0.9216878461837769,0.67652,0.9755404114723205,0.6544
27,135,0.8889271259307862,0.68938,0.9433692574501038,0.6682
28,140,0.8687805843353271,0.69516,0.9244425058364868,0.6762
29,145,0.8631580376625061,0.69678,0.9204090356826782,0.6741
30,150,0.8608898711204529,0.69822,0.9182018876075745,0.6762
