,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.08119758605957,0.20302,2.075577974319458,0.2089
1,5,1.9418513679504394,0.276,1.9440828561782837,0.2808
2,10,1.7549443101882936,0.34976,1.7576358795166016,0.3522
3,15,1.65547926902771,0.3888,1.658189296722412,0.3888
4,20,1.6082644748687744,0.41104,1.6212746858596803,0.4112
5,25,1.53555193901062,0.43966,1.551093578338623,0.4316
6,30,1.440449686050415,0.47916,1.4554100275039672,0.4776
7,35,1.4687836217880248,0.45982,1.4832472801208496,0.4581
8,40,1.3805744886398315,0.50376,1.393483781814575,0.5027
9,45,1.3594198846817016,0.50788,1.3889968395233154,0.4994
10,50,1.2639128971099853,0.53994,1.2914849996566773,0.5223
11,55,1.320127534866333,0.52606,1.3440075397491456,0.516
12,60,1.18789662361145,0.5731,1.2211894035339355,0.5656
13,65,1.196263165473938,0.56622,1.2275838136672974,0.5511
14,70,1.1426382207870482,0.59384,1.1749107599258424,0.58
15,75,1.1139909362792968,0.59942,1.1413333415985107,0.5833
16,80,1.0558707952499389,0.6317,1.0826253414154052,0.6215
17,85,0.9868404221534729,0.65172,1.014748454093933,0.6423
18,90,0.9482667160034179,0.66158,0.9760034441947937,0.6494
19,95,0.9272894406318665,0.6729,0.9587950110435486,0.6613
20,100,0.900366506576538,0.68492,0.9275713205337525,0.6751
21,105,0.8650434684753417,0.69306,0.897800350189209,0.6841
22,110,0.8658137845993042,0.6971,0.9014462232589722,0.6841
23,115,0.829284770488739,0.70744,0.8661846041679382,0.6954
24,120,0.8211918926239014,0.70906,0.8626254677772522,0.6924
25,125,0.82266756772995,0.71214,0.8640265345573426,0.6952
26,130,0.7373950481414795,0.74322,0.7812600255012512,0.7254
27,135,0.7402614641189575,0.74168,0.7883097410202027,0.7253
28,140,0.719549434185028,0.7484,0.7685787439346313,0.7325
29,145,0.7084892225265503,0.75366,0.7590837240219116,0.7363
30,150,0.7038735485076905,0.75616,0.7542813301086426,0.737
