,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.0134258890151977,0.2493,2.0019986152648928,0.2491
1,5,1.5713324308395387,0.42294,1.5753685712814331,0.4247
2,10,1.3169243288040162,0.5219,1.3366120100021361,0.5155
3,15,1.173757119178772,0.58248,1.2054713726043702,0.5708
4,20,1.0239095973968506,0.62924,1.0661261081695557,0.6117
5,25,0.9271632671356201,0.66626,0.9775931596755981,0.651
6,30,0.8214873552322388,0.70658,0.873344612121582,0.6863
7,35,0.732140417098999,0.74044,0.7854704856872559,0.7165
8,40,0.6695016384124756,0.7624,0.7525037527084351,0.7302
9,45,0.596972119808197,0.7867,0.6868823051452637,0.7566
10,50,0.523011771440506,0.81628,0.6230400323867797,0.7824
11,55,0.49913973450660704,0.82252,0.6272814989089965,0.7797
12,60,0.4115153932571411,0.85366,0.5507842898368835,0.8075
13,65,0.383666969537735,0.86352,0.5474604964256287,0.8096
14,70,0.312872542142868,0.89312,0.48871026039123533,0.8299
15,75,0.2931465262174606,0.8962,0.5041538000106811,0.8281
16,80,0.23849945902824402,0.91752,0.47591158747673035,0.8395
17,85,0.22714841544628142,0.91918,0.5123764216899872,0.8281
18,90,0.180068878531456,0.93738,0.47596755623817444,0.8428
19,95,0.1308758157491684,0.95508,0.46663920283317567,0.8516
20,100,0.10428397357463837,0.96468,0.466280859708786,0.8564
21,105,0.07865306109189987,0.97474,0.4638195991516113,0.8583
22,110,0.06518445536494255,0.97896,0.4877671360969543,0.8584
23,115,0.041970953494310376,0.98788,0.48160370588302615,0.8645
24,120,0.028911358937621118,0.9916,0.4961886525154114,0.8677
25,125,0.016959366239607334,0.99582,0.5069915056228638,0.87
26,130,0.009700801707804203,0.99826,0.501570749282837,0.8722
27,135,0.006957569289952516,0.99906,0.5137566268444062,0.8734
28,140,0.005465446319431066,0.99916,0.5186859369277954,0.8748
29,145,0.004664169065654278,0.99948,0.5141621947288513,0.877
30,150,0.004418013086542487,0.99952,0.514117419719696,0.8767
