,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.1159441033188178,0.20378,2.106101560592651,0.2053
1,5,1.8665974894348456,0.29098,1.8690386414527893,0.2917
2,10,1.7049870928939508,0.36126,1.713259255886078,0.3634
3,15,1.5042456704743055,0.45054,1.5111612677574158,0.4376
4,20,1.3680484781459885,0.50412,1.3861090540885925,0.4907
5,25,1.2167583363396781,0.56318,1.2259814500808717,0.5595
6,30,1.036647016904792,0.6239,1.0544267773628235,0.6141
7,35,1.0034173337780699,0.64288,1.0277803659439086,0.6301
8,40,0.9671222774349914,0.65156,0.9979052722454071,0.6384
9,45,0.7700621753322835,0.72826,0.8047349512577057,0.7135
10,50,0.753137004618742,0.73154,0.7974018394947052,0.7179
11,55,0.6225504948168384,0.78186,0.6738220751285553,0.7629
12,60,0.6038655261604153,0.78726,0.667392897605896,0.7654
13,65,0.5165482838543094,0.82062,0.5915293455123901,0.7946
14,70,0.5195502827362138,0.81276,0.5929223001003265,0.7859
15,75,0.44963317683764864,0.84084,0.5485077261924743,0.8096
16,80,0.38317352046771924,0.86618,0.4955941945314407,0.8272
17,85,0.3449744916692072,0.87988,0.4719987571239471,0.8366
18,90,0.32834937864420366,0.885,0.46963833272457123,0.8421
19,95,0.2899823054975393,0.90018,0.4476472556591034,0.8454
20,100,0.23509686029687218,0.91894,0.41891778707504274,0.8594
21,105,0.2338000657607098,0.91898,0.42128720581531526,0.8624
22,110,0.21184500930260639,0.92738,0.41639152467250823,0.8643
23,115,0.19204026399826518,0.93204,0.4345977187156677,0.8627
24,120,0.13535853901079722,0.95494,0.39133262932300567,0.8727
25,125,0.11634150877290843,0.96106,0.4036436915397644,0.8713
26,130,0.09103285825374174,0.97136,0.4060315161943436,0.8775
27,135,0.07543578105313438,0.97726,0.4079103469848633,0.8759
28,140,0.061232492099611124,0.98278,0.4087826609611511,0.8813
29,145,0.055688049264100134,0.98488,0.4081078261137009,0.8815
30,150,0.05429550891323966,0.98558,0.4072679400444031,0.881
