,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.081939833504813,0.21356,2.073003149032593,0.2158
1,5,1.8285944291523524,0.31782,1.8368272304534912,0.3212
2,10,1.6101785484625368,0.40086,1.6106095790863038,0.401
3,15,1.4219055540707646,0.48002,1.4357449054718017,0.4749
4,20,1.3276473721679376,0.5042,1.3469632148742676,0.5
5,25,1.1658230436091521,0.57842,1.1743468761444091,0.5796
6,30,1.0418211598785556,0.62742,1.0598811149597167,0.6262
7,35,0.9434423507476339,0.66514,0.9701099038124085,0.6547
8,40,0.8491926010774107,0.69198,0.8829071998596192,0.6813
9,45,0.7873133469601067,0.7227,0.828871101140976,0.7002
10,50,0.7167757481944804,0.74924,0.774767029285431,0.7317
11,55,0.6158324735505241,0.78256,0.6851562678813934,0.7591
12,60,0.5964484518888046,0.79164,0.6806206107139587,0.7718
13,65,0.5410946948187692,0.80798,0.6376978516578674,0.7772
14,70,0.4845780584276939,0.82824,0.5877616107463837,0.7925
15,75,0.4332913719877905,0.84918,0.5628297626972198,0.8039
16,80,0.42542416769631053,0.85042,0.5634711027145386,0.8088
17,85,0.37057918614270735,0.869,0.5220857053995133,0.8174
18,90,0.2779582942626914,0.902,0.4592354506254196,0.842
19,95,0.25570204580316735,0.9117,0.4559053719043732,0.8427
20,100,0.24599714485966429,0.9148,0.45246459543704987,0.8465
21,105,0.24809081761204466,0.91442,0.46286885142326356,0.8394
22,110,0.2550411534552671,0.91088,0.4764501631259918,0.8397
23,115,0.24548021840805911,0.91428,0.4683890610933304,0.8394
24,120,0.25493339251498787,0.91042,0.4926113337278366,0.8365
25,125,0.23262610484142693,0.91842,0.5073316186666489,0.8372
26,130,0.22172692235635252,0.92106,0.5137992531061173,0.835
27,135,0.19236375695588637,0.9317,0.4916570097208023,0.8455
28,140,0.15830835335108698,0.94408,0.48844487965106964,0.8499
29,145,0.17741291224956512,0.93612,0.5413776069879532,0.8347
30,150,0.1300976416286157,0.95426,0.4974475294351578,0.8525
