,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.1143102353932908,0.20764,2.098521041870117,0.212
1,5,1.7715721422312212,0.35186,1.7644296050071717,0.3606
2,10,1.4847096448041954,0.46096,1.4944815278053283,0.4615
3,15,1.2258876197192135,0.558,1.252954888343811,0.5485
4,20,1.0355379338167152,0.62542,1.0757519483566285,0.606
5,25,0.942133865794357,0.65866,0.9910856246948242,0.6447
6,30,0.8688931988210095,0.69158,0.928978431224823,0.6689
7,35,0.7639017530850002,0.7282,0.8318807125091553,0.7063
8,40,0.6966644367393182,0.75366,0.7688610553741455,0.7224
9,45,0.6531597874602493,0.7694,0.7373651564121246,0.7378
10,50,0.6003937161698634,0.7865,0.6982798755168915,0.7509
11,55,0.5357493125662511,0.81106,0.6487017154693604,0.7717
12,60,0.5063189748598604,0.81994,0.6320214569568634,0.7785
13,65,0.48107253045451887,0.82568,0.6306926488876343,0.7827
14,70,0.3977715439942418,0.8598,0.572362756729126,0.8035
15,75,0.33988972950954827,0.87912,0.5275586485862732,0.8175
16,80,0.30212377437523436,0.89528,0.50706787109375,0.8253
17,85,0.2754611640560384,0.90188,0.5077131986618042,0.824
18,90,0.24904392294737757,0.91224,0.5130441397428512,0.8322
19,95,0.2028398790529796,0.92872,0.49905738830566404,0.8388
20,100,0.17541700784040956,0.93942,0.4852394461631775,0.8444
21,105,0.14660853284354114,0.94876,0.5067361384630203,0.8459
22,110,0.1150945806685759,0.96094,0.5096847116947174,0.8473
23,115,0.09201238197939736,0.96976,0.5196788907051086,0.8481
24,120,0.07137194367087617,0.9768,0.5313954651355743,0.8519
25,125,0.05009286493367078,0.9847,0.5428880482912064,0.8553
26,130,0.035403628092335195,0.99008,0.5549567669630051,0.8589
27,135,0.02718465224060477,0.99276,0.5590577840805053,0.8604
28,140,0.02194425706960717,0.9944,0.5628792345523834,0.8613
29,145,0.018215703720949133,0.99588,0.5703551292419433,0.8631
30,150,0.017685180434919134,0.99598,0.5709697365760803,0.8628
