,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.060318727493286,0.23004,2.0492665767669678,0.2353
1,5,1.625637173652649,0.40712,1.6332133054733275,0.4023
2,10,1.2873008346557617,0.5364,1.3110262632369996,0.5282
3,15,1.1429235315322877,0.5868,1.1860450744628905,0.5666
4,20,0.96328364610672,0.65738,1.0215324878692627,0.6382
5,25,0.9018054842948914,0.67416,0.9692668557167053,0.6533
6,30,0.7862969303131103,0.72344,0.8654422283172607,0.6998
7,35,0.7243187499046325,0.74696,0.811350154876709,0.7177
8,40,0.683332576751709,0.75758,0.7910911917686463,0.7249
9,45,0.6081817555427551,0.78076,0.7382713317871094,0.7391
10,50,0.5368771636486054,0.81196,0.6756850123405457,0.7637
11,55,0.4991638445854187,0.82362,0.6549936294555664,0.7705
12,60,0.4405298638343811,0.84644,0.6048377633094788,0.7908
13,65,0.38419091105461123,0.86392,0.5786742091178894,0.8019
14,70,0.3472470378875732,0.88038,0.5639838218688965,0.8104
15,75,0.3229669320583344,0.88446,0.5699918031692505,0.8093
16,80,0.27886956214904784,0.9034,0.5561023473739624,0.8133
17,85,0.23912182509899138,0.91634,0.5406109452247619,0.8248
18,90,0.20303786277770997,0.93188,0.5355205059051513,0.8251
19,95,0.1731015944480896,0.9399,0.5569985389709473,0.823
20,100,0.14801725924015044,0.94952,0.5455990791320801,0.834
21,105,0.11964418172836304,0.95944,0.5572470307350159,0.8317
22,110,0.08955787003040314,0.96968,0.5796774387359619,0.8337
23,115,0.07474194675683975,0.97624,0.5783312320709229,0.8377
24,120,0.05186997771263122,0.98352,0.6027867078781128,0.8407
25,125,0.03722878083586693,0.98908,0.6054283022880554,0.8463
26,130,0.02785168297588825,0.99222,0.6184499025344848,0.8439
27,135,0.02018813803792,0.99494,0.6258260488510132,0.8487
28,140,0.015348859541118145,0.99608,0.6234818458557129,0.8532
29,145,0.013523745946586133,0.99706,0.6340170979499817,0.8517
30,150,0.013200320936739444,0.99716,0.6354986906051636,0.8526
